,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
0,23.50089,0.61241984,19.526522,7.3894506,1489.4546,739.1407,593.9776,2.462997e-05,32.760254,996.32904,148.11044,116.1613
1,19.9472,0.5908071,18.46671,7.6933894,1185.7102,583.8003,189.9259,0.004236973,32.312355,908.6565,155.2894,83.72603
2,14.779686,0.5654421,16.875595,8.205046,828.09717,409.03812,17.264795,5.168749,34.203926,57.719517,169.41815,54.750717
3,23.494904,0.6120851,19.526762,7.388345,1484.3121,736.48114,592.0936,2.4584677e-05,32.649296,996.3428,148.01155,115.43473
4,23.56062,0.6157286,19.524319,7.400364,1538.5834,764.5911,612.52527,2.5061916e-05,33.86814,996.1931,149.09137,123.24746
5,23.127907,0.5969549,19.503735,7.35033,1226.6715,604.77454,495.11926,2.6699316e-05,28.071455,996.5441,144.05142,82.75321
6,23.578299,0.6167346,19.523472,7.4037557,1552.9062,772.02325,618.0636,2.5216552e-05,34.210403,996.1485,149.3938,125.36418
7,15.354115,0.5885061,16.925043,8.261278,1253.0553,617.1399,31.189514,4.662727,41.70286,56.03511,176.1738,100.24073
8,14.824143,0.56791705,16.875088,8.21323,872.5638,430.0807,18.26391,5.18703,35.011906,56.490303,170.21155,59.073353
9,14.708206,0.56111217,16.878613,8.189933,752.81146,373.85513,15.688851,5.110144,32.801376,60.332733,168.01003,47.670643
10,22.92473,0.59323084,19.459068,7.3540664,1160.2035,571.40924,459.20557,3.2970835e-05,27.231281,996.12604,143.56818,75.57132
11,14.746258,0.5633866,16.87722,8.197798,791.8855,392.0446,16.50169,5.1385183,33.532887,58.98311,168.74521,51.30556
12,15.406703,0.5890348,16.939833,8.25748,1261.6017,621.4718,32.147945,4.481721,41.787,58.476677,176.12808,101.17965
13,23.58428,0.6170758,19.523178,7.40491,1557.698,774.5107,619.93475,2.527014e-05,34.327007,996.1332,149.49672,126.07744
14,23.202343,0.5993077,19.513361,7.3541603,1269.1876,626.2614,512.153,2.5590753e-05,28.718678,996.5824,144.58301,87.65877
15,19.894768,0.58980566,18.455908,7.6940813,1167.7241,574.7916,184.26555,0.0044591287,32.059982,906.38446,155.13449,81.75859
16,16.016575,0.59514976,17.109978,8.2139015,1357.8629,670.57153,45.46303,2.6000853,42.776974,94.5199,175.62248,112.03058
17,23.320484,0.6037572,19.52372,7.36407,1347.7202,666.23083,541.9246,2.4542533e-05,30.016703,996.566,145.69312,97.219086
