,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
0,20.477304,0.44195616,19.62181,8.034588,1498.1355,739.19324,54.21609,1.0057251,42.2594,68.91553,261.67145,104.46937
1,29.67712,0.36341017,22.061417,8.477877,1631.1742,811.5977,59.14224,3.2215786,27.658987,50.705273,249.21338,110.41845
2,32.234894,0.23816311,25.327776,7.883244,1011.4673,493.42166,48.87358,1.4929789,35.34909,14.302564,172.06938,120.17061
3,14.726126,0.5426817,16.65898,8.3754015,1595.7214,790.95123,82.02239,5.787008,35.02532,56.582615,356.26324,146.50414
4,31.425694,0.51675504,28.023487,7.9495955,1296.0293,634.71533,30.880075,0.9310627,40.414143,9.025021,231.8878,109.60132
5,33.391144,0.51206845,27.159641,8.1377735,1279.2373,624.70245,27.2857,1.4321858,40.70924,3.61751,288.0852,100.894966
6,13.70561,0.16797371,22.619066,8.140377,882.32294,434.81607,51.45667,7.534828,47.925514,133.91516,166.51172,116.20791
7,22.130196,0.4274146,19.889242,7.361678,1366.5916,672.7379,514.06854,0.30346888,26.787394,997.7644,168.73997,104.86541
8,23.800821,0.7125831,21.79881,8.209097,1443.0372,701.5365,41.234875,1.9557662,35.26683,5.1412544,384.03714,119.83797
9,22.755491,0.2600089,22.290394,7.8385334,1656.5411,815.6221,75.64595,0.62778646,50.187313,267.23724,205.62051,134.51514
10,14.922562,0.46316916,19.364422,8.117784,1639.5171,810.19104,86.07352,3.0763907,37.083946,253.09747,333.01404,166.76886
11,31.570662,0.42081392,26.551254,8.147621,1515.1263,750.58606,53.86345,2.424813,30.946428,9.381353,321.37408,162.04553
12,10.480109,0.6591147,8.650095,8.640083,1666.9536,829.31335,68.921684,8.445453,56.818413,23.723938,281.86902,160.83731
13,20.020483,0.6090519,27.370953,7.386651,446.41968,225.85095,36.74554,0.7592991,25.347134,339.7234,67.41738,27.446007
14,17.685656,0.22688912,19.628216,8.193758,1802.6425,893.205,184.49684,1.9831691,32.99361,512.0864,288.76996,163.25017
15,22.289291,0.27980152,23.931389,7.9555006,1459.8613,720.7085,57.059494,1.7593156,33.680252,13.295795,287.32016,168.4478
16,30.004818,0.40559566,26.887987,7.869924,1424.111,703.448,60.132233,0.96144104,30.011868,49.099075,158.02518,147.09558
17,21.225372,0.3593304,21.238495,7.25151,1512.4854,744.6917,563.5063,0.19938064,28.060738,996.881,213.29256,116.61167
18,20.90897,0.1984583,22.554268,8.404187,920.1573,438.13156,138.40804,0.97618765,21.634909,965.86566,130.15353,95.34819
19,17.606977,0.17767438,23.094025,7.479228,1320.9917,630.35236,280.41428,0.20209202,31.914074,995.7596,174.06403,107.34844
20,25.853758,0.43463603,23.597868,7.9776106,1577.8212,779.5096,50.90881,1.2122957,50.207085,34.299763,256.6999,131.70898
21,20.312954,0.21625507,22.157333,7.971893,1480.1906,731.75146,65.05584,1.1809394,31.538082,72.087036,206.19052,146.00151
22,22.630615,0.07491873,27.146532,7.819167,986.23737,483.3085,73.14177,1.9543784,65.8455,365.92923,150.72612,147.91911
23,23.677113,0.047888618,27.778814,7.9630523,817.8247,406.1943,81.52229,2.6849115,77.935486,453.5905,167.25401,148.39009
24,21.350706,0.29522994,22.696423,7.69269,1724.0006,851.11993,70.62921,0.35159284,60.871338,379.74304,219.55334,146.25615
25,31.193993,0.6363253,26.60517,7.937073,1177.9021,573.6952,20.818941,1.5558089,20.792511,1.723202,299.69324,77.4712
26,26.395731,0.13039191,25.812674,8.356658,1398.5917,690.54114,68.60169,4.7581453,65.50497,215.79698,162.83273,143.80104
27,22.17574,0.6837467,20.97769,8.299575,1488.5396,737.99896,82.23434,2.1115968,33.88471,454.2066,240.63042,123.32542
28,17.319576,0.38777852,18.19909,8.254296,535.786,270.7595,48.90831,5.871543,46.96018,139.7096,118.57547,57.165207
29,22.889217,0.17998536,28.242298,7.6312027,1234.1626,605.70166,45.651005,0.5116795,56.861027,184.73506,150.42807,130.73679
30,26.307613,0.29701447,23.669418,7.968887,1585.4423,775.58887,71.208595,0.715461,56.59184,259.54382,198.26883,101.87007
31,10.611515,0.52056885,15.552878,8.526602,1671.1099,832.5571,66.10454,9.214037,40.443714,50.70642,256.6825,153.21072
32,23.800566,0.5528771,22.443539,7.892531,1324.7534,653.1519,84.93851,0.81318855,31.129017,660.4504,185.54712,77.51292
33,27.774752,0.8731297,19.699032,8.370303,1326.0127,655.64777,71.1534,2.478209,36.971622,594.4508,145.13911,82.72059
34,20.750614,0.36170223,22.566843,8.117156,1125.4827,556.0455,29.958141,7.1480694,21.155779,10.051146,308.4226,79.18242
35,22.968822,0.044876046,26.839272,7.645425,838.7994,415.1926,69.90401,2.1353617,68.06536,363.1392,131.21432,155.6425
36,26.287914,0.4001091,21.003613,8.276712,1566.065,776.37573,54.33374,2.3233683,37.596676,79.38888,260.43567,110.39883
37,21.155098,0.33381578,25.576855,8.378001,1514.2351,752.40967,63.26688,6.2526093,37.814743,118.30062,216.69092,135.66568
38,25.882732,0.14248297,24.62439,7.8807898,1242.7847,609.99316,54.347248,1.1740083,63.767696,217.24838,168.70944,120.40411
39,23.41181,0.8374148,27.652168,7.3446956,581.3453,278.33582,19.79403,1.2396466,8.100445,6.7819552,182.84613,29.851574
40,18.141724,0.8332737,25.349483,7.3690467,228.32462,140.70242,13.751611,1.7720311,12.361591,23.275038,113.046394,6.8133616
41,30.40583,0.42186254,21.581156,8.273061,1594.2036,792.23706,57.121128,1.7221564,26.598972,27.842707,290.07608,112.755905
42,29.45223,0.50755227,22.666159,8.270463,1584.2222,785.7109,51.268776,1.9343483,21.655445,19.436407,316.84186,127.19957
43,24.56179,0.15535118,18.838003,7.8117676,1436.4802,703.02496,115.41719,1.1807107,32.24816,481.9589,159.7204,116.392204
44,10.796195,0.2845889,21.527401,8.138789,1024.0771,501.42392,29.1924,8.540004,38.971516,23.513054,277.4179,73.33839
45,13.549131,0.29386473,22.027475,7.82333,1693.232,843.05164,59.969395,0.8231464,35.156685,87.380005,276.16016,173.55502
46,21.215775,0.37575692,22.65913,7.9923067,1433.0074,706.354,53.86821,0.81138706,47.744896,109.39724,224.53055,101.22677
47,18.89387,0.5627524,21.610561,7.878605,1655.1853,820.69855,58.097847,0.68544835,40.917267,67.34745,246.87358,147.57675
48,26.147367,0.101164,21.077574,7.5980806,1090.8743,528.7542,76.72206,0.8002573,40.217407,489.1013,108.67509,119.07895
49,24.10868,0.5057757,21.798008,8.130884,1504.6415,745.8335,44.103348,1.4460268,23.925724,32.179943,283.72717,115.81877
50,21.379766,0.14044213,20.576756,7.245183,1533.9349,748.7231,165.30173,0.42555106,34.917973,849.0533,182.73102,115.07951
51,14.43795,0.4615181,16.273579,8.219969,408.27933,216.33301,35.692566,6.518002,47.974575,65.6956,155.57138,36.164326
52,19.241417,0.76574224,26.46212,7.280097,243.39589,145.87184,13.967349,1.2459786,15.457924,21.021444,109.26741,8.573039
53,19.602802,0.29453158,21.072998,7.886677,1491.7998,723.85126,229.41264,0.6950877,26.120373,980.75183,207.50734,100.94888
54,11.781597,0.2495782,26.592922,8.189852,1427.1843,705.043,42.659935,7.714877,31.403843,65.82825,249.86945,115.98311
55,17.481953,0.5595853,24.499947,7.828135,1373.6672,679.61,41.835846,0.7048136,29.782167,44.75128,200.59708,119.227455
56,28.246344,0.36173123,23.127071,7.987056,1512.1427,747.8517,44.475483,1.0967816,48.26295,61.227726,239.69774,111.075905
57,25.155966,0.13930552,24.239792,8.033416,1304.4694,642.1071,63.856056,3.1332006,54.92121,196.06456,147.61372,142.36641
58,23.974573,0.8406502,18.480362,8.531886,1058.0576,504.06903,105.36479,4.1843567,20.046381,679.5197,113.080765,74.58061
59,16.230537,0.0770235,27.059374,8.075429,1226.9865,605.0757,74.33797,4.7910967,59.218193,291.9894,157.28116,159.14456
60,34.128212,0.4955482,28.213928,8.217239,1547.7611,765.2377,48.05458,2.3642864,25.901184,6.783308,284.8356,160.04778
61,19.676395,0.501033,16.97571,8.117626,1557.7853,770.2946,56.551952,1.5720279,29.88259,41.637825,342.65378,115.32834
62,12.190329,0.585001,11.837189,8.176498,1576.941,781.2115,45.974884,1.585279,58.81339,27.313622,244.44449,130.07448
63,18.589294,0.23282954,31.299828,7.061664,427.1149,215.52094,17.314913,0.24356318,33.289505,22.032644,130.30278,31.904465
64,26.789732,0.23527454,15.918756,8.615889,1724.5248,854.71545,247.86201,3.400494,25.42875,627.1767,225.2282,121.19247
65,24.188187,0.6187254,21.426394,7.929318,1358.5623,670.4846,52.040157,0.96559936,58.156513,236.76251,125.46981,90.78405
66,32.975533,0.48842672,27.937473,7.9249687,1370.7368,672.81104,41.298954,0.9652051,36.810196,13.968283,186.90869,128.0153
67,20.067684,0.885757,18.993605,7.855931,1317.8407,653.57275,41.249165,1.9491035,56.714066,66.37142,262.32446,152.36522
68,18.9387,0.42210868,13.2256365,8.147542,1623.0027,805.3144,66.9334,1.69819,46.179535,34.869297,316.48117,106.849945
69,9.6537075,0.30482376,22.384481,8.122931,1722.4087,851.79333,72.153404,1.6596304,38.724045,73.26014,401.27542,183.26584
70,29.971375,0.8617926,24.66469,8.078452,835.56415,398.48642,29.158846,2.38144,22.264696,9.781747,264.33008,42.828415
71,20.423302,0.32273036,20.011734,7.991066,1531.2853,756.3018,56.191113,0.8169038,58.62655,78.876335,238.71661,97.64992
72,18.90726,0.16718784,22.663387,7.8946304,920.55054,452.35825,33.2754,4.4008164,45.981064,26.028343,263.85822,85.82515
73,24.414713,0.3106616,28.556477,7.7820354,1364.8431,671.12213,42.319584,0.5266457,56.93355,119.09702,183.48723,122.08782
74,9.164128,0.37680423,13.84001,8.271151,352.91718,198.47247,33.641613,8.976227,61.09883,60.43759,198.26895,51.284748
75,32.486637,0.36460316,28.274426,7.9314246,1482.0249,733.66504,42.20051,1.2549081,44.46166,26.309652,186.50629,156.39069
76,18.856253,0.37259126,17.550467,8.176703,1556.7362,766.39056,137.3715,4.3873496,23.057547,390.3733,292.1493,143.77945
77,15.656006,0.90581805,24.035667,8.343022,614.1177,295.5058,55.94466,2.2744474,20.085333,531.2703,149.69556,24.943764
78,15.357486,0.22386235,20.716162,8.260052,1667.3154,824.794,104.76583,1.8339294,28.235498,215.94778,273.4437,160.074
79,26.232746,0.037057094,26.600101,7.7207537,905.93896,445.60614,64.398506,1.479696,79.85336,374.89447,150.97781,145.3837
80,34.593838,0.28968605,25.583849,7.9594116,1162.2896,569.292,38.69515,1.5904846,44.49519,5.8217745,202.29134,128.88568
81,25.054005,0.14327691,26.992178,7.4305897,828.6739,399.28168,58.450905,0.38463953,33.866726,424.5631,78.66473,111.09321
82,29.572342,0.2807937,21.566582,8.816005,1537.6952,757.8021,156.23772,3.5374334,19.674196,451.9611,181.65906,125.449715
83,20.956438,0.65475655,15.733601,8.422995,1034.7632,492.10294,105.776505,6.175446,17.661903,213.87991,182.46521,88.281456
84,16.515299,0.3629712,24.91065,7.577338,1196.5148,575.8707,174.0529,0.35019982,21.643282,997.5834,161.56464,89.64488
85,24.181345,0.3140163,22.893108,7.638059,1387.9883,672.5065,76.33675,0.40623394,59.180183,774.0647,134.3186,59.50472
86,21.2356,0.8051588,14.965701,8.178649,1241.6642,602.3058,87.35685,4.8632727,35.277115,636.8641,172.91687,121.773056
87,13.846834,0.520734,20.07264,7.729411,1054.6311,525.25964,27.02532,2.917223,9.599774,6.8452263,263.41223,56.93826
88,27.315346,0.55793697,29.867348,7.9250956,702.3628,335.83093,47.384914,0.51049984,31.447454,166.00978,151.68747,63.049763
89,22.003036,0.19211563,20.588333,8.509797,1564.2524,769.6926,114.803535,2.6650891,25.410345,100.986755,223.76538,154.43793
90,26.840302,0.27368963,21.162586,8.3987,1142.5679,560.1345,32.424316,6.640244,36.69941,10.662944,301.86157,74.04807
91,9.703966,0.71674156,13.908165,7.7986703,1533.9402,758.45605,49.8418,2.0819466,23.561144,16.066755,277.372,138.62389
92,13.320707,0.18778728,18.264072,7.882516,404.27783,217.87468,31.675245,6.9561367,53.887833,48.78229,201.23721,67.42192
93,15.014368,0.48600644,19.198973,8.045258,1079.842,533.3684,30.57778,3.2569525,26.822762,13.098499,299.41492,60.32718
94,15.09433,0.1789521,27.089695,7.169989,1309.7546,627.10175,160.68034,0.1431117,30.99403,993.4186,205.2273,100.65549
95,30.306988,0.36986494,27.317427,8.235291,1548.4515,758.52924,69.910545,1.9223709,21.300055,10.017396,255.09514,171.07773
96,21.181671,0.29635614,18.741486,8.095679,1538.3661,748.29663,254.82953,1.0887312,24.526752,965.08264,195.40291,97.04234
97,11.4105015,0.087977625,23.050217,7.817521,700.1738,349.0167,42.822018,6.1703672,54.45602,91.08031,209.91226,120.18185
98,29.077812,0.18793258,28.796473,7.6109247,1277.8253,625.9277,38.904583,0.5571932,69.034,123.64077,135.93922,139.51857
99,31.080343,0.3096393,26.344816,7.9040327,1492.907,737.60333,42.234867,1.1450638,59.525658,51.30367,209.84772,131.02359
100,13.2467165,0.44474325,18.569904,8.672882,1420.3376,704.0355,80.88295,6.850758,47.605003,143.67416,144.97256,113.59011
101,17.872414,0.3030582,26.190006,7.9118524,1417.0023,697.3452,52.108982,0.4811986,61.626934,129.27869,202.72543,104.40027
102,18.969227,0.48844594,24.131527,8.0252,1233.1357,605.09924,103.74916,0.9025076,20.709763,982.0067,184.69626,81.04206
103,15.633063,0.66699374,19.115185,8.082176,1352.0,667.16266,48.93948,1.5742685,43.440334,59.275787,149.5037,120.169235
104,25.348215,0.36500397,23.128246,8.482232,1383.4918,683.3122,42.677097,6.655359,37.91021,30.268526,286.32718,100.766075
105,22.595701,0.25283206,19.009012,7.4225435,1789.579,890.5083,529.2814,0.48971838,21.817696,980.90063,259.08884,134.75691
106,26.22627,0.041692186,26.409916,7.7684336,951.08276,465.82687,64.2176,1.4023094,79.69936,367.39124,162.75943,138.99846
107,30.424318,0.31413886,21.122269,8.286728,1578.0884,784.4477,56.34207,1.8708873,32.798374,49.985554,229.52203,104.358986
108,24.329334,0.7392818,28.096159,7.514672,429.92456,219.15538,21.463783,0.93176514,25.840685,27.213493,162.07278,22.80411
109,21.790438,0.22343935,18.206577,7.590012,1716.9587,847.14087,491.48712,0.4499213,27.430922,986.8851,194.22191,120.95551
110,18.340805,0.5988528,21.543673,8.073549,1600.2759,792.9348,39.047844,0.9387385,64.324234,71.01721,180.17076,139.95578
111,12.564882,0.584785,12.068003,8.420841,1616.5125,801.4351,77.77224,6.11494,44.45732,39.301777,330.71558,145.9695
112,17.685284,0.30807933,25.847433,7.362623,1513.4517,734.6704,257.12894,0.20426545,29.095238,995.4186,241.61739,119.24902
113,20.72625,0.20499788,21.920876,7.766794,1665.0394,822.2,72.883224,0.6688917,46.595566,215.61632,208.73112,153.63368
114,18.534967,0.8699343,26.853333,7.1175766,548.7062,262.3353,16.600567,1.3310267,4.35873,4.568572,156.3977,23.750505
