,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
0,13.978685,0.5329453,25.73095,7.717399,1242.3254,545.635,38.345364,0.41748947,50.49182,16.223232,251.33379,82.75721
1,30.375427,0.47828993,28.398434,8.2830925,1447.2743,701.98846,44.541534,2.7253973,26.803164,717.67944,163.22763,171.56042
2,30.597572,0.54558676,30.97955,8.307594,1511.8441,725.46674,101.87023,0.09872086,29.062107,467.53845,146.91293,145.48938
3,12.143277,0.49268427,28.498718,8.668696,1498.8734,686.4597,30.177723,0.4681411,60.618816,500.75262,185.04791,60.34097
4,27.623936,0.19129449,16.778433,6.9993734,1357.0168,668.01404,89.97335,0.7720334,34.249413,51.272198,315.20145,139.57552
5,27.448383,0.48998165,16.447426,8.042848,858.5089,421.3934,198.78778,0.39958018,25.768208,722.00726,86.88027,144.91487
6,22.623058,0.8421793,22.210615,8.32136,1552.0557,714.0848,83.02065,4.121376,49.39911,186.6695,99.19226,108.28997
7,30.753613,0.49881318,29.435999,7.279681,1143.4674,508.9013,19.184181,0.4717825,35.67813,203.81763,183.76483,151.16716
8,15.826223,0.5736808,16.152235,7.176111,1235.1779,566.44336,205.07018,0.19135627,30.51396,695.5399,135.7922,52.85065
9,23.928251,0.5670334,18.979803,8.249138,1200.1113,490.35748,292.60287,1.0904834,31.450209,514.7327,71.45235,72.813255
10,15.055312,0.48491547,20.385845,7.0964437,1058.082,453.87762,10.257932,0.7279963,62.220734,36.127777,181.08342,59.471207
11,21.466208,0.22618537,24.878416,8.305817,1070.6483,489.43793,13.118191,0.39024815,43.033813,4.261004,267.3373,107.99103
12,26.608398,0.53015786,19.052929,8.187328,1217.705,594.29224,4.934538,0.71605533,34.92228,139.86171,101.5301,158.92102
13,23.063478,0.7932215,19.133217,7.470009,1697.6932,837.0851,27.394365,0.9489024,66.33401,204.27301,160.96997,132.92572
14,27.215326,0.22155347,21.155525,7.7115707,1322.4336,576.4724,83.94449,0.4921573,26.6287,247.87465,255.6398,72.235695
15,30.661411,0.39645433,19.807716,7.7625785,1402.5878,597.41266,11.6175165,0.105038404,21.378902,162.365,106.8082,54.717373
16,12.4070835,0.64954966,17.975294,7.924844,1312.5822,628.6579,112.94213,0.38052556,32.686707,19.400478,147.20868,92.00863
17,28.79717,0.3806181,23.455736,7.2665315,1622.6587,782.9217,27.838024,0.26074064,23.104074,344.4625,111.07253,121.151146
18,33.674576,0.30063176,30.47616,8.945901,1192.5675,583.28625,34.343903,0.54065365,52.608364,270.1993,215.64767,128.96794
19,20.972136,0.39528084,20.447939,7.8222833,1054.7675,484.01862,23.828136,0.16973832,46.29719,123.28406,215.80641,60.73045
20,26.427387,0.6017073,18.724949,7.0758286,1434.552,677.759,26.353102,0.048986137,36.873722,496.70474,117.22031,161.19276
21,33.80189,0.26857635,23.225592,7.9194055,1513.0531,709.1608,11.935749,0.12563346,37.381546,96.82493,207.1382,185.85805
22,24.654734,0.76120627,34.209755,9.401814,1240.6776,589.249,32.174347,1.6370951,57.875763,28.179838,163.60123,140.25192
23,36.233902,0.44476864,19.632181,7.4094768,1785.0182,884.56494,67.04664,0.51514095,49.123566,63.590557,133.79907,132.55302
24,28.063707,0.47173545,21.633291,8.602559,1780.6115,854.24695,118.08078,0.22991863,27.41676,730.54333,206.11722,136.41132
25,20.74034,0.52435714,14.399333,7.445871,1223.297,509.94693,13.218517,0.7423941,21.780556,175.23874,162.13858,54.20045
26,15.246687,0.558674,10.284012,7.308567,875.5554,368.27158,13.554241,0.32348064,55.5524,404.87488,256.4242,24.743526
27,25.70677,0.84101653,25.833872,7.148785,577.7805,263.42853,13.079652,0.47524926,26.431614,715.0332,191.69942,36.635742
28,18.769333,0.52724856,24.527264,8.734697,1266.9271,576.4594,37.759716,0.066315666,43.247444,616.72473,298.844,125.01933
29,22.467642,0.60571927,22.78269,8.2765665,1352.1726,628.4804,131.87444,0.07293092,60.776295,959.5618,239.93782,102.44306
30,21.870705,0.5961043,19.521133,7.303673,1029.8824,479.18652,117.543945,0.07379575,44.099934,888.8506,94.386024,51.183163
31,14.560865,0.28701815,21.328903,8.1558895,1806.5197,896.04065,20.546038,0.55252427,55.679947,182.01363,149.9032,168.74129
32,23.894117,0.52715087,31.360998,7.4586554,1642.0929,819.1595,77.534775,0.05631701,53.106384,330.2264,251.00644,76.07717
33,34.743843,0.4658949,16.918295,8.510984,1138.3032,514.8095,45.627773,0.7446246,39.629753,87.835625,156.67957,40.928337
34,15.077764,0.43619734,16.220234,6.9808044,964.77106,438.53043,92.372475,0.36177546,38.4334,84.25227,390.4579,105.90422
35,24.359146,0.7749469,18.484482,9.031406,1664.349,790.5505,63.365704,1.5428978,47.940887,517.0644,77.54435,168.26654
36,31.85878,0.70082545,24.596365,8.226607,1044.5629,504.13113,35.58086,0.6541509,29.551878,267.03104,94.5883,86.50001
37,26.745865,0.50689447,26.179638,9.359472,571.8431,250.43723,21.216599,0.18781768,53.154278,249.53142,161.24387,15.540108
38,13.107776,0.7094647,17.366653,8.881806,1424.4215,603.0669,6.1387434,0.472782,61.642624,15.561885,287.32898,37.903133
39,13.49866,0.89326227,16.645144,7.7832046,1071.6724,477.09763,30.64531,2.048488,38.369144,44.468994,136.13403,42.847168
40,23.082636,0.33169475,14.287625,8.845343,1050.5608,482.8269,191.20448,0.20250359,38.3936,733.2728,177.98288,166.51251
41,27.68258,0.55270445,24.787066,9.501459,1529.6155,719.2071,7.9396844,2.7399578,36.17259,36.842995,225.4652,179.03636
42,27.485779,0.52940273,16.465263,8.230353,993.7818,435.47363,46.88657,0.041742265,27.511686,239.66756,146.84113,113.973404
43,18.213903,0.2605023,18.604076,7.3334165,1119.2764,500.86432,48.383263,0.21029732,52.841747,889.1105,112.98241,145.6773
44,22.184135,0.20978421,22.528557,7.9896197,1346.8048,659.6216,18.45687,0.10026176,42.488117,421.75528,188.19382,145.69496
45,21.12891,0.76390815,12.493381,7.4409466,1128.9666,476.6613,43.74781,0.33620346,42.50831,68.9681,344.38345,100.10459
46,27.251701,0.5221461,20.783894,8.937668,1615.6552,777.4901,36.977776,0.15343922,64.49013,47.98325,250.96324,189.71106
47,18.314867,0.5578073,12.027914,8.708127,1074.449,486.34952,61.48763,1.828984,40.794334,617.2299,86.162445,106.5993
