,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
42,18,0.6,17.75,7.9,1210,600,92,1.79,27.5,1000,114,97
43,18,0.6,18.05,7.7,1170,580,92,1.35,27.5,1000,114,95
52,14.3,0.54,21,8.1,1370,680,56,3.6,25,199,106,118
53,14.3,0.54,25.5,8.1,1400,690,56,1.87,25,220,110,120
72,13.4,0.56,16.8,8.1,1470,730,128,0.68,30,60.9,181,110
73,13.4,0.56,15.8,8.2,1460,720,128,0.73,30,53.4,181,110
82,23,0.36,21,7.3,1590,790,620,0,25,1000,228,118
83,23,0.36,20.8,7.3,1520,750,620,0,25,1000,228,118
92,15.2,0.52,17.4,8.1,1020,500,82,2.87,35,1000,135,64
93,15.2,0.52,17.3,8,960,470,82,1.82,35,1000,135,64
102,14.4,0.48,16.9,8.7,1110,550,130,5.47,30,212,111,76
103,14.4,0.48,16.8,8.7,1060,520,130,3.74,30,81,111,76
112,12.8,0.57,15.2,8.6,940,460,60,5.64,55,177,117,69
113,12.8,0.57,15.3,8.4,930,460,60,3.28,55,128,117,69
122,15,0.51,20.6,8.4,1080,530,56,6.66,40,128,135,76
123,15,0.51,20.8,8.4,1050,520,56,5.57,40,87.2,135,76
132,19.2,0.47,19.9,8,1430,710,80,4.61,30,167,176,115
133,19.2,0.47,19.9,8.2,1460,720,80,3.17,30,168,176,115
142,20.2,0.54,23.2,7.8,1490,740,74,0.95,35,1000,187,117
143,20.2,0.54,23,7.9,1540,760,74,1.14,35,1000,187,117
162,18.7,0.19,21.2,7.7,1620,800,100,0.9,30,285,193,142
163,18.7,0.19,21.6,7.8,1630,810,100,0.63,30,206,193,142
172,17,0.72,19.7,7.6,1570,780,60,2.27,30,33.4,193,142
173,17,0.72,19.5,7.7,1500,740,60,2.24,30,30.4,193,142
182,13.8,0.69,19.2,7.8,1610,790,52,1.11,25,81,165,122
183,13.8,0.69,19.3,7.8,1610,790,52,1.17,25,62.5,165,122
192,13,0.78,24.4,7.5,800,390,50,1.89,30,150,114,59
193,13,0.78,24.4,7.5,810,400,50,0.54,30,219,114,59
202,20,0.52,26.3,7.8,1050,520,50,1.17,35,118,108,79
203,20,0.52,26.1,7.8,970,480,50,0.91,35,92.1,108,79
212,30.5,0.5,27.7,7.8,1460,700,80,0.96,30,52,154,142
213,30.5,0.5,27.6,7.8,1410,700,80,1.31,30,63.9,154,142
