indice_tiempo,nivel_general,alimentos_bebidas,cereales_derivados,pan_fresco,pan_envasado,facturas,galletitas_dulces,galletitas_saladas,productos_pasteleria,arroz,harinas_trigo,otras_harinas,fideos_secos,pastas_frescas,masas_precocidas_tapas,carnes,achuras_menudencias_frescas,carne_vacuna_fresca_cortes_delanteros,carne_vacuna_fresca_cortes_traseros,carne_ave_fresca,pescados_mariscos_frescos,carne_porcina_ovina_fresca,fiambres,embutidos_conservas_preparados_carne,conservas_preparados_pescado,aceites_grasas,aceite_mezcla,aceite_puro,margarina_otras_grasas,lecheproductos_lacteos_huevos,leche_fresca,leche_en_polvo,quesos_blandos_untables,quesos_semiduros,quesos_duros,manteca_crema,yoghurt_postres_lacteos,huevos,frutas,frutas_frescas,frutas_secas_en_conserva,verdurastuberculos_legumbres,verduras_tuberculos_legumbres_frescas,verduras_legumbres_secas_en_conserva,azucar_dulces_cacao,azucar,dulces,golosinas,cacao_sus_derivados,infusiones,cafe,te,yerba_mate,condimentos,sal_especias,aderezos,alimentos_semipreparados,caldos_sopas_concentrados,polvos_para_postres,alimentos_preparados_listos_para_consumir,comidas_preparadas,empanadas_pizzas,helados,bebidas_no_alcoholicas,gaseosas,jugos_refrescos,soda_agua_mineral,bebidas_alcoholicas,vino,cerveza,otras_bebidas_alcoholicas,alimentos_consumidos_fuera_del_hogar,refrigerio,almuerzo,indumentaria,ropa_interior,ropa_interior_para_hombre,ropa_interior_para_mujer,ropa_interior_para_ninio,ropa_exterior,ropa_exterior_para_hombre,ropa_exterior_para_mujer,ropa_exterior_para_ninio,calzado,calzado_para_hombre,calzado_para_mujer,calzado_para_ninio,calzado_deportivo_para_hombre_mujer,calzado_deportivo_para_ninio,telas_hilados_articulos_de_merceria,telas,hilados_para_tejer,articulos_merceria,accesorios_para_vestir,articulos_marroquineria,articulos_joyeria_relojeria,servicios_para_la_indumentaria,confeccion_reparacion,vivienda,alquiler,alquiler_la_vivienda,reparacion_mantenimiento_de_la_vivienda,materiales_mano_obra,electricidad_serv_sanitarios_gas_otros,electricidad,servicios_sanitarios_gas_otros_combustibles,equipamiento_funcionamiento_del_hogar,muebles_accesorios_401,muebles_accesorios_40101,artefactos_domesticos,electrodomesticos,artefactos_a_gas,aparatos_radio_tv,textiles_accesorios_para_decoracion,blanco_manteleria,cortinas_alfombras_accesorios,menaje,bateria_cocina_cubiertos,cristaleria_loza,articulos_para_limpieza_mantenimiento,jabones_limpieza,detergentes_desinfectantes,articulos_para_mantenimiento,articulos_descartables,utensilios_limpieza,servicios_para_el_hogar,reparacion_aparatos_electricos,servicio_domestico_otros,limpieza_ropa,elementos_para_iluminacion_ferreteria,articulos_ferreteria,elementos_para_iluminacion,salud,productos_farmaceuticos_accesorios_terapeuticos,medicamentos,elementos_para_primeros_auxilios,accesorios_terapeuticos,servicios_para_la_salud,medicos_odontologos,servicios_prepagos_auxiliares,transporte_comunicaciones,transporte_publico_de_pasajeros,omnibus_corta_distancia,tren_corta_distancia,otros_medios_transporte,vehiculos_para_transporte_personal,automoviles,funcionamiento_mantenimiento_de_vehiculos,combustibles_lubricantes,cubiertas_repuestos_reparaciones,seguro_estacionamiento_otros_servicios,comunicaciones,correo,telefono,esparcimiento,entretenimientos,juegos_juguetes_rodados,plantas_animales_domesticos,articulos_deportivos,libros_diarios_revistas,diarios,revistas,libros_no_escolares,turismo,transporte,hotel_excursiones,equipos_elementos_serv_de_audio_video,equipos_audio_video_fotografia,elementos_para_audio_video_fotografia,servicios_para_audio_video_fotografia,servicios_de_esparcimiento,cines_teatros,club_espectaculos_deportivos,educacion,servicios_educativos,educacion_formal,otros_servicios_educativos,textos_utiles_escolares,utiles_escolares,libros_texto,bienes_servicios_varios,tabaco,cigarrillos_tabaco,articulos_para_la_higiene_el_cuidado_personal,articulos_tocador,articulos_tocador_descartables,articulos_belleza,servicios_para_el_cuidado_personal,servicios_peluqueria_para_el_cuidado,otros_servicios,servicios_varios
1989-05-01,603.0082,608.7225,612.8195,589.7707,607.9455,540.3457,679.1996,693.9204,525.8695,596.277,637.564,681.2016,703.8524,584.551,653.3492,560.8035,611.565,566.1436,532.3923,521.2861,684.0249,504.3449,620.9785,578.4573,716.1021,853.7979,857.0079,902.1567,759.5656,732.3083,727.893,739.7198,744.9029,756.2005,809.8561,724.6554,750.0666,671.1963,529.5098,518.7964,628.0791,638.1412,629.2007,690.3917,701.9949,689.8078,699.0511,705.4375,723.8422,800.7435,1090.5627,651.3402,388.8663,678.8539,574.0375,751.8314,722.8456,757.5919,677.4803,560.472,561.7274,588.5856,483.1375,504.6206,446.4953,681.4985,481.3465,642.7936,661.86,501.9166,611.3211,493.8336,512.5958,489.0295,718.5486,822.1172,766.9245,892.1785,775.0285,635.7537,694.1934,590.0274,570.8956,810.6572,833.1009,720.1576,744.5729,873.4225,900.7207,1000.9457,904.9496,1253.3248,943.552,947.232,876.5679,1060.0275,613.8991,613.8991,416.3946,287.4135,287.4135,730.2759,730.2759,338.467,344.431,333.4332,759.2664,1046.8995,1046.8995,872.8607,886.5238,775.6264,887.8233,936.8622,945.7182,900.6743,829.8987,966.4178,703.6807,853.1833,1083.0299,772.7871,712.3278,941.0139,668.1268,460.6276,715.9662,429.4185,489.2558,912.9071,836.6172,953.692,553.195,625.1127,605.7392,766.2354,841.4697,438.2491,451.5533,427.546,603.8532,411.8661,421.3738,369.639,377.5136,1041.1442,1041.1442,633.2005,370.6784,1314.5071,695.4294,338.61,470.9585,335.2437,565.4132,656.0182,683.1715,512.0091,827.4004,547.3952,502.5381,586.8702,645.3414,439.8585,398.4742,474.6137,854.3468,957.9356,921.2197,603.5725,412.3758,444.211,369.3097,582.5349,483.898,529.5725,385.5944,769.5325,778.7957,749.6785,530.7857,346.3501,346.3501,750.0142,757.2518,783.5692,649.7888,402.1424,402.1424,454.2819,454.2819
1989-06-01,1293.2936,1395.7573,1332.7712,1306.3422,1348.5443,1153.908,1319.8834,1381.6045,1072.8707,1642.9623,1516.0773,1598.0417,1570.3809,1152.0323,1498.0261,1670.4288,1806.4792,1837.0705,1716.4293,1347.0033,1646.1513,1407.0319,1579.2171,1525.5173,1630.0895,1967.1594,2022.5387,1959.8028,1637.4213,1623.6644,1589.2006,1683.5558,1515.1042,1537.1244,1638.3973,1557.5744,1592.4036,1880.0208,939.8383,886.5847,1429.8012,1191.1769,1101.2617,1716.6642,1535.9648,1441.6982,1610.7969,1587.8519,1574.4861,1821.7626,2281.361,1675.4417,1142.4891,1582.4741,1254.819,1810.6011,1467.7185,1548.9449,1361.668,1160.5567,1210.2008,1154.2172,1039.1883,1097.6612,1016.18,1527.1525,930.1362,1289.1744,1290.0536,1190.1588,1348.4223,950.9842,979.5299,943.675,1419.7594,1658.9956,1626.2264,1744.5814,1557.0289,1168.0993,1315.4134,1025.8755,1080.5821,1773.9649,1755.9928,1382.8996,1440.5871,2085.057,2194.7276,1920.7336,1774.7608,2341.5798,1738.705,2121.8381,1740.358,2730.7651,1273.2863,1273.2863,764.4575,373.5967,373.5967,1759.4625,1759.4625,507.463,460.9786,546.697,1530.2338,2159.0596,2159.0596,2027.3012,2065.8042,1751.8183,2069.8758,2071.7122,2135.8567,1809.6037,1809.345,2277.704,1376.3261,1797.4064,2062.6139,1676.4168,1684.5818,2082.044,1438.5006,661.3826,1305.5242,541.3724,894.531,1946.5708,2040.7927,1896.1994,1053.3206,1218.0339,1162.3219,1614.5982,1846.9814,790.0593,780.4322,797.8041,1369.1274,773.392,815.013,595.0909,618.8427,3268.1518,3268.1518,1330.9082,587.8033,3126.6696,1669.7558,500.8722,1284.2942,480.9457,1110.281,1482.362,1604.5639,916.7161,2093.0901,1072.407,868.1663,1233.254,1544.5212,780.7411,744.2526,811.3847,1717.4479,2254.4077,1645.318,1111.604,713.3957,813.5258,577.9419,1243.7244,941.815,1081.0709,642.0995,1816.0899,1773.955,1906.3986,1177.5115,926.4865,926.4865,1718.6736,1745.5862,1725.7064,1578.0661,697.5486,697.5486,705.1612,705.1612
1989-07-01,3836.3442,4033.9027,4236.6526,4537.4227,3865.6753,3796.3507,4438.1639,4575.4766,3040.3962,5122.1088,5135.3163,4393.4318,4553.243,3456.3089,3662.198,4275.7721,5586.0613,4510.8873,4210.7505,3572.2526,4926.1403,4168.1761,4256.8271,4283.27,4330.4544,4622.1282,4635.6587,4672.0648,4461.9055,4699.7429,4069.3117,4720.2794,4317.1453,4842.8618,4846.4292,4476.1301,4914.78,5970.9462,2783.7258,2664.1006,3884.3457,4029.1347,3913.505,4704.9039,3981.7127,3762.8324,4674.4789,3876.725,3702.4298,3997.6654,4579.3522,4449.0472,2954.4769,4175.4986,3264.8729,4809.5139,4051.6288,4577.5195,3365.0176,3555.2604,3604.7723,3312.5051,4055.2353,3859.9659,3509.4769,4630.3071,3939.7363,4942.9123,5207.4606,4107.2309,3772.0819,3025.2695,3360.6057,2939.4054,3989.3172,4844.6212,4447.0173,5235.1599,4697.4965,3309.5048,3721.7508,2910.3557,3067.831,5077.1996,5032.8126,3877.632,4030.5489,6030.1758,6373.7753,5423.3027,5157.9972,6323.5847,4746.4345,5121.9879,4644.8497,5883.6063,3027.1854,3027.1854,2404.6733,524.2962,524.2962,5223.262,5223.262,2104.437,2645.095,1648.1073,4436.2515,6487.9793,6487.9793,6051.9231,6227.5654,4807.8015,6242.6421,5976.6784,6174.1343,5169.8293,6735.3213,7678.3489,5863.4499,4733.9236,5456.4069,4756.3098,4312.4089,4793.0542,3590.3448,1877.9493,4026.0024,1196.5908,3751.5319,5495.6992,6374.2337,5026.0305,3055.3762,3849.9609,3734.6769,5178.9667,4779.6678,1785.3913,1774.6557,1794.0279,4739.7892,3116.5647,3276.619,2531.9948,2457.9434,8320.7144,8320.7144,5176.3544,4016.0779,8927.0459,4545.1852,1273.6839,5542.2361,1165.1127,3574.4929,4770.8771,5186.0784,3366.9089,5837.4364,2877.7394,2433.248,3004.8051,4213.9287,3508.6364,3794.9943,3268.1481,5025.1769,6596.419,5048.4229,2864.0243,1802.5938,2260.1174,1183.6657,2939.4745,2093.9174,2335.5749,1573.8068,4542.4975,4442.9315,4755.8992,3346.1333,2351.4228,2351.4228,5162.3131,5445.0025,4889.7094,4368.3077,1937.7715,1937.7715,1900.5661,1900.5661
1989-08-01,5288.8345,5029.6921,4774.7054,4680.3308,5174.5838,4191.1678,5110.5971,4848.1587,4203.3324,5762.0238,5707.3673,4879.193,5195.3206,4148.2978,4694.4553,4684.0789,5666.6135,4810.5543,4545.8541,4193.8246,5675.9682,4772.8628,4406.4368,4830.2667,7143.4183,4933.5581,4895.2555,4840.505,5312.7353,4936.8263,4694.5899,5481.2371,4496.6177,4872.0124,5285.4496,4987.7201,5404.1797,5272.3455,4464.1307,4311.1842,5871.3262,6456.2851,6506.1777,6164.6998,4690.4181,3807.9863,5840.2151,4981.2832,4731.5279,4516.1391,5250.1601,5567.7196,3060.8381,5094.8141,4467.1723,5531.8042,4969.9875,4951.5202,4994.0988,4817.9644,4842.9975,4355.7918,5962.321,5664.7668,5411.263,6460.4156,5545.2596,6468.0955,6706.6489,5346.1625,5653.9897,4969.2436,5394.6181,4860.3249,5651.6557,7017.3792,6879.5086,6734.1566,7670.7127,4722.8783,5280.2964,4090.2521,4657.9762,7177.0842,7411.3722,5762.0182,6014.8763,8154.2421,8747.0772,7405.0748,7616.1679,7408.8171,6103.35,6886.0994,6733.6805,7129.3937,4420.0399,4420.0399,3511.8782,946.4038,946.4038,6642.8084,6642.8084,3442.1219,3623.7802,3288.7976,6327.5427,8977.0546,8977.0546,7495.7366,8143.6166,6213.1013,7279.3318,8058.0067,8252.042,7265.1349,9594.7076,11134.1217,8171.4501,6496.6432,6816.9207,6844.6259,6571.6483,5884.0559,5414.0956,3671.0404,6119.0655,2999.0546,5398.778,6907.7191,9368.2279,5592.3193,4820.252,5305.9042,5166.5969,6663.5132,6610.9446,4044.034,3709.0904,4313.4913,5976.1632,4472.6824,4531.7767,3904.5947,4453.5718,9377.4452,9377.4452,6439.5563,5357.4879,10488.5186,5175.6168,2151.0087,11523.8882,1912.6082,5717.9044,7033.4728,7511.452,5240.7376,8604.9607,4724.2058,4295.1402,4317.9508,6746.2904,5823.4043,5129.9973,6405.7395,6691.5835,7652.0886,7538.7758,3989.8954,4317.6101,4588.5263,3951.1206,5880.9307,5874.895,6513.3552,4500.7601,5892.3732,5767.2535,6160.5447,6051.3568,6960.2114,6960.2114,6829.9162,7038.9692,6429.492,6634.6483,3150.625,3150.625,4666.0843,4666.0843
1989-09-01,5783.6203,5499.6552,4729.6412,4473.2784,5113.9576,4237.2707,5014.6478,4771.7241,4662.8708,5756.2825,5300.9384,4759.3537,5132.314,4291.7237,4669.2314,5220.0072,5640.3499,5219.0498,4967.074,5418.4214,5687.4747,6001.9651,5089.3027,5133.7457,7416.6998,4873.4369,4797.3504,4811.9144,5436.7647,4793.9429,4638.7914,5481.1637,4421.7411,4750.2884,5136.8113,4917.9496,5266.8679,4850.5578,5519.3861,5383.5093,6769.5297,8485.7634,8894.9749,6094.2277,4684.1836,3712.7867,5854.5695,5093.1932,4754.3354,4506.8428,5222.8445,5677.4076,3045.5339,5395.771,4746.3878,5847.8985,5203.2051,5188.6561,5222.2005,5280.1098,5530.7909,4579.2628,6424.0307,5674.6027,5370.6576,6432.0613,5677.3361,6331.1311,6500.055,5366.2942,5866.4281,5942.8439,5859.9563,5964.0676,6285.2219,7694.1356,7860.6654,7054.8537,8556.1197,5365.6535,6079.3401,4623.6927,5090.8549,7780.111,7994.6105,6725.6084,6758.5908,8465.1088,9082.0758,8116.8332,8690.7262,7450.9843,6305.6019,7355.2687,7343.3226,7374.3374,5148.8779,5148.8779,3752.0498,1846.4339,1846.4339,6621.9817,6621.9817,3441.3574,3623.7802,3287.3877,6712.5309,9113.8601,9113.8601,7553.8071,8294.9674,6351.0092,7232.6556,8650.9476,8945.4909,7447.3775,9835.9321,11247.1674,8531.1816,6511.2458,6786.1952,6796.5037,6837.7803,5792.7962,5538.1608,4505.0671,7352.9289,3860.62,5979.7496,7041.3055,9550.9126,5699.6576,5394.2521,5328.757,5166.5969,6518.5549,7133.4485,5498.933,5191.0556,5746.6159,6092.3427,4476.5924,4531.7767,3904.5947,4485.142,9574.3715,9574.3715,6611.4531,5362.5114,11091.4302,5389.5949,2151.0087,11523.8882,1912.6082,6592.5943,7476.6146,8027.3079,5823.1292,8484.9545,5223.4651,4555.879,5172.9139,7564.5047,6878.3441,5129.9973,8346.6359,7074.3507,7544.595,8228.9763,4525.4322,6182.2509,6598.3107,5619.4142,6936.1984,7211.5762,7936.8024,5650.6979,6414.1319,6012.798,7274.3193,6994.7723,7677.1132,7677.1132,6807.1577,7170.4527,5856.4938,6970.0562,4047.7432,4047.7432,8657.0679,8657.0679
1989-10-01,6107.2335,5748.7661,4749.1084,4387.0599,5113.6002,4256.3364,4953.3701,4767.3491,5086.699,5836.844,4976.1455,4743.8418,5131.789,4526.7752,4620.31,5406.6657,5841.5377,5166.6641,4936.5931,6052.3767,5732.8549,6574.0759,6122.4801,5447.8004,7536.6514,4770.5813,4663.0246,4840.919,5324.687,4835.905,4647.9142,5477.341,4487.4239,4870.4072,5160.7628,4960.9995,5364.251,4855.4084,6280.1977,6180.9762,7193.0926,9197.8934,9743.9803,6006.4236,4805.8547,4006.0968,5883.2378,5175.2602,4708.5922,4815.6763,5143.1606,5676.1625,4053.6056,5564.269,4729.3534,6145.5718,5357.2924,5381.2518,5326.0105,5700.0297,6165.9914,4858.9412,6613.7928,5655.7452,5352.3931,6346.3105,5707.0824,6333.699,6464.6076,5402.2715,6094.1095,6464.1564,6350.6797,6493.2125,6948.7607,8189.6814,8429.3857,7458.5768,9112.3048,6127.6943,6995.2314,5186.0635,5905.6162,8297.4811,8354.2495,7709.8483,7547.8843,8616.3255,9286.8057,8602.2329,9355.9718,7614.6888,6512.2804,7878.3622,8004.4115,7677.1596,5857.2676,5857.2676,3853.0871,2214.6474,2214.6474,6631.0801,6631.0801,3438.3053,3623.7802,3281.7595,7028.2937,9315.6774,9315.6774,7771.4856,8484.306,6626.2112,7459.4059,8970.1233,9225.6716,7925.8955,9967.8448,11381.1476,8661.1828,6400.7479,6608.2079,6677.0527,6789.0296,5628.9455,5575.7198,5227.2442,7895.4441,4709.5086,6273.4032,7106.0934,9797.1543,5667.4394,5732.4944,5350.4707,5166.5969,6386.2411,7625.9459,6343.0829,6415.5575,6284.7783,6276.5902,4478.8532,4531.7767,3904.5947,4503.3965,10024.3669,10024.3669,6851.8594,5359.3363,11826.9556,5855.6625,2151.0087,11523.8882,1912.6082,7314.7972,7791.39,8270.9298,6221.4614,8922.7524,6133.3108,5800.5231,5695.0985,7872.1134,7821.2664,5129.9973,10081.4407,7454.6756,7935.2796,8597.7569,4910.895,7100.8419,7729.3442,6250.6176,7548.9709,8048.8608,8940.7371,6129.3073,6601.2701,6003.7778,7881.8881,7312.2752,7991.8748,7991.8748,6823.6918,7196.2246,5751.5854,7182.4586,4880.9909,4880.9909,9315.4223,9315.4223
1989-11-01,6505.3572,6122.7158,4964.3238,4556.1245,5242.8085,4520.229,4976.7476,4801.1122,5853.3766,6023.6653,5298.2398,4748.6352,5219.1879,4930.8409,4669.5397,5774.6833,6040.2166,5423.6605,5231.8189,6699.981,5851.872,6745.2615,7069.1249,5633.2851,7790.1826,5007.932,4961.4581,4954.2119,5376.8693,4925.4272,4674.0743,5645.0767,4696.5901,5195.1309,5326.422,4948.8996,5397.6209,4855.4084,7289.2653,7235.9686,7779.6254,9565.8651,10173.5474,6014.4162,5162.1652,4719.182,6011.5857,5409.8426,4790.7196,4897.1406,5133.5453,5790.9128,4268.4467,5769.6416,4847.6544,6411.5673,5509.465,5522.9175,5491.9012,6321.117,6938.6463,5408.4152,7001.595,5813.884,5608.2399,6390.1995,5768.3011,6450.9597,6519.2173,5918.6652,6356.6304,7267.9713,7240.1489,7275.0953,7415.1164,8704.4789,8927.7516,7879.5544,9806.0242,6558.8366,7577.4238,5448.6576,6311.0487,8672.3747,8793.8032,8111.8107,8011.1428,8961.4373,9568.388,9192.8663,10139.9847,7873.4253,6767.4223,8864.6441,8612.7974,9266.6474,6739.4952,6739.4952,4278.2466,2964.868,2964.868,7570.435,7570.435,3439.0622,3623.7802,3283.1553,7640.8011,9818.8367,9818.8367,8493.3555,9075.0579,7045.522,8381.4648,9425.1343,9701.4191,8296.1722,10118.5339,11505.1775,8836.5195,6390.7854,6604.0325,6639.8375,6840.0212,5479.0063,5698.7436,6399.6239,9075.0112,6057.9252,6756.8773,7213.5048,10013.9426,5716.3773,6104.0438,5370.6623,5166.5969,6357.6528,8014.8545,7276.2077,7960.0379,6726.0763,6387.5978,4480.0864,4531.7767,3904.5947,4513.3536,10355.171,10355.171,6981.8893,5369.2199,12159.8485,6147.6762,2151.0087,11523.8882,1912.6082,8020.8096,8105.6793,8679.1394,6317.954,9283.9927,6453.7289,6107.9612,6079.2996,8148.3816,8839.5376,5129.9973,11954.8737,8209.9739,9347.291,9011.8728,5344.4948,8039.9512,8658.5053,7203.1846,8236.22,8985.3259,9883.7384,7051.7046,6816.051,6147.3212,8249.3535,7541.6132,8087.7773,8087.7773,6855.5746,7239.0646,5710.3012,7306.9574,5693.3799,5693.3799,9827.7944,9827.7944
1989-12-01,9112.2547,8785.9142,7195.7172,7381.0806,6791.6357,7044.7737,6537.6732,6747.7987,8194.4023,7875.6584,7461.0862,5993.8345,6416.1279,7541.6326,6683.5248,10182.4621,8787.4209,9741.266,9623.5587,11925.9662,8743.0464,10744.1365,12983.0205,8713.5608,10134.2707,7213.0937,7447.1487,6664.1423,6616.89,6864.0375,5894.7977,6727.3017,6587.5642,8025.0969,7286.806,6153.4998,6750.2539,8482.3986,9166.043,9064.1386,10103.6211,10891.8675,11509.7588,7280.7549,6995.1131,6753.1494,7835.1189,7299.915,6224.3317,6361.6149,6714.3343,7896.9154,5365.4375,7318.3515,6017.7939,8223.8536,6910.3095,6852.3014,6986.0459,9478.6408,10911.7315,8144.0532,8999.8417,7973.0683,8071.3032,8169.0224,7644.6611,8391.3624,8258.2114,9786.6894,8341.1712,10121.895,10867.5439,9930.9687,9960.3552,12068.3359,12440.3777,11110.3041,13203.0273,8774.3881,10480.3681,6974.025,8193.0403,11368.0655,12233.1182,10092.5798,10535.9723,11947.3464,12782.5134,12442.9671,13519.3492,11222.0591,8974.4397,13212.4288,12380.319,14540.6607,9118.3797,9118.3797,5500.2119,3492.2105,3492.2105,10363.5616,10363.5616,4298.0619,4135.0026,4435.6882,11060.4731,14232.6117,14232.6117,12759.2236,13622.3336,10065.3663,12744.9993,13887.6426,14115.7661,12955.4788,14694.0968,16269.4021,13237.6563,8403.6858,8748.977,8710.5372,9115.4649,7015.2781,7477.0092,9511.2639,11975.5855,9362.2748,9194.1411,10477.8708,14650.6179,8247.1002,9548.1065,9322.716,9247.0617,8178.0088,11407.6403,9908.3481,11727.3648,8444.9756,9006.566,6700.3316,6886.9761,5378.9304,6339.1989,13575.6293,13575.6293,9911.2484,7794.0734,17498.6006,7848.5552,2891.7456,14265.7162,2602.447,11508.5074,10770.612,11422.5419,8156.4501,13243.0901,8357.9587,7602.2303,8013.2623,11406.0864,13769.2833,7500.4721,19033.9391,12122.0319,14034.5958,13369.096,7471.4465,11251.3894,13009.2465,8873.3981,9736.2859,10117.1351,10681.1037,8903.3258,9014.2648,8032.7328,11118.0029,9226.2465,8249.5328,8249.5328,9366.894,9947.0034,7656.8039,10005.5973,8073.9109,8073.9109,11911.7255,11911.7255
1990-01-01,16329.5935,16229.8964,16437.6068,18434.0526,17589.1682,15917.6576,14585.4579,15883.5082,14415.1604,15605.8095,16516.0175,13678.4412,14941.0426,15701.9141,17181.5609,15666.5106,13790.4708,15133.7104,14919.3422,14513.9009,18514.179,14843.7999,21487.5311,15429.9322,19834.8656,15119.1134,15281.5491,14716.0498,14739.3548,14448.9535,13939.9263,14523.1403,14038.2202,16963.7323,15902.8325,13861.2324,14848.7625,13962.028,15724.7469,15532.7267,17491.4425,19719.5303,20491.2351,15209.4926,13226.7954,10609.1977,15829.8075,15126.9566,13302.3409,12852.593,14552.0232,16189.492,9223.187,16214.236,13172.8384,18331.783,15668.4305,15436.9547,15970.6491,18372.8581,19733.6865,16670.4671,19061.0425,17254.0249,18255.6134,17516.7727,15195.0077,16397.5346,16464.2714,15800.7794,16355.3792,18129.7654,21081.0363,17374.0812,15566.1493,20784.2342,21118.5963,19795.0105,22019.7303,12877.8165,15860.5399,9848.9084,11526.4703,18991.0599,19467.2435,13870.3975,15605.656,22949.3682,23706.3283,19945.9821,20213.1075,20166.5853,17747.0307,21975.3645,20610.7639,24153.57,14451.5445,14451.5445,8311.2258,4758.0767,4758.0767,18615.3896,18615.3896,5376.1965,5614.9745,5174.6617,20418.722,22850.9572,22850.9572,19502.9678,20895.4075,15366.4399,19421.7564,24384.5527,24593.9005,23529.1105,27675.4158,30208.434,25333.5267,17906.8083,18576.0122,18481.3309,19212.4145,15499.6663,15972.4427,19203.5262,21478.7326,19420.1371,17530.0092,20609.8622,28303.9415,16496.5706,18985.8841,20033.4424,19975.441,17595.2357,22773.0537,17311.5714,19978.1994,15166.3081,15862.67,11552.6351,12315.2322,6310.0896,9977.583,24721.2208,24721.2208,17608.8055,12865.7484,34029.6119,13694.8235,3398.1582,16245.9245,3071.3734,20712.3013,19710.5837,20236.0261,16870.0526,23131.7878,14647.5536,12280.1691,14237.8221,23268.3931,26910.241,12377.0781,39115.4423,19302.4138,20794.6722,21556.9207,13549.9109,19419.3016,21640.7926,16414.1164,14140.7104,12212.678,10681.1037,15509.0305,17795.9105,15297.3012,23151.2322,17929.3564,14791.4124,14791.4124,20919.9175,22835.5371,16084.8826,21428.5541,14679.1265,14679.1265,19501.4409,19501.4409
1990-02-01,26383.7673,25618.5224,27291.0492,30551.5914,25249.4993,26049.2614,24597.0657,27800.8961,21705.3955,33333.0028,27612.3069,24088.6937,26489.8119,23803.3311,25031.1849,25550.0611,25044.3019,26261.9316,25482.6236,22177.2406,30303.438,22365.6241,27676.9687,24758.5879,29021.5923,28472.5182,29875.4284,25625.0626,24216.8982,23334.1278,23563.2049,23752.486,21057.0747,21574.074,21402.4525,24788.3405,25862.9785,24517.3212,21732.0134,21235.0748,26304.1313,32724.4362,34045.5417,25003.5624,21960.788,18237.211,27181.7743,24298.6061,20723.7889,21765.4456,24740.5462,27990.1246,15301.2671,25156.3664,21787.0063,27502.2544,24160.147,23315.3453,25263.1337,24163.6905,27023.0671,21523.5977,23148.6225,24943.3562,23118.8684,31529.8139,23444.1246,24466.3496,24694.1682,23285.9093,23760.3858,26275.4117,28854.7298,25614.9675,23544.3318,34417.8351,30588.447,34586.9735,39044.5809,17926.675,22473.5209,13178.0427,16236.9797,30104.2301,35025.9235,20420.0701,30524.648,34778.0856,38293.9389,33649.2166,31428.6041,41564.2071,27013.6359,38844.8266,33398.6759,47538.0917,21696.5044,21696.5044,16184.9867,7344.0351,7344.0351,30926.9796,30926.9796,14064.7656,17967.9182,10770.4017,34538.2627,41078.9338,41078.9338,36084.5607,39427.8855,28966.0206,35106.8233,39031.0362,39075.7276,38848.4169,41527.7749,45337.6602,38005.3646,27172.2728,28832.4549,28327.0976,29585.3298,21973.614,23201.9267,33697.1396,37088.869,35417.8547,25752.9723,34430.4362,49265.26,26499.6685,28833.0375,28231.7173,27526.3429,28555.4424,39629.6705,29794.1277,34960.3064,25638.0123,26481.5705,21414.2576,22605.9534,15488.1737,17511.3918,44893.737,44893.737,27269.281,18136.7048,55271.8589,24163.0451,6233.8392,29108.7684,5652.0122,30249.3718,29639.0884,30196.7646,23126.6083,40081.0246,24538.4763,18420.2536,30190.2609,37527.1885,34716.8822,20440.853,46706.1381,32794.8895,37388.6751,36122.25,21074.3379,27111.723,29619.5401,23719.202,31872.1117,32205.9568,33083.4236,30317.4165,31239.202,26080.1761,42296.6501,29251.673,25367.2722,25367.2722,34206.0482,38385.574,24307.9592,34032.5045,22811.6506,22811.6506,30041.3374,30041.3374
