,od,ph,ce,std,sts,dureza,cloruros,turbidez,nivel,temperatura,ICA
od,1.0,0.505401257004615,-0.21248458425917943,-0.20547460530096828,-0.16271865525794474,0.12667045893537038,-0.09213710468369045,-0.25205774685790866,-0.24708056605489898,-0.2169490929204448,0.7256996164131673
ph,0.505401257004615,1.0,0.254573890981466,0.2662267034929359,-0.20154021910544326,0.16102791815364026,0.2508558104383984,-0.15491749740825725,0.22066666539914853,-0.5473882606000398,0.27470235733679627
ce,-0.21248458425917943,0.254573890981466,1.0,0.9983576864501645,0.36957633429470466,0.2223300837109881,0.7447490395146047,0.31563338010902403,0.12044451198473313,-0.09217373161544307,-0.5760669759153911
std,-0.20547460530096828,0.2662267034929359,0.9983576864501645,1.0,0.35932704618650685,0.2225263833579949,0.7598202110013287,0.3107519837739875,0.12602257852654708,-0.10741284140831915,-0.567629086264763
sts,-0.16271865525794474,-0.20154021910544326,0.36957633429470466,0.35932704618650685,1.0,0.07590294592269503,0.10114005311215606,0.6093662743976148,-0.10593199094071303,0.02317684633543685,-0.5090924446479813
dureza,0.12667045893537038,0.16102791815364026,0.2223300837109881,0.2225263833579949,0.07590294592269503,1.0,0.21290635649727593,-0.21894210969798572,0.13463289385018537,0.031879160334853836,0.1412880056484449
cloruros,-0.09213710468369045,0.2508558104383984,0.7447490395146047,0.7598202110013287,0.10114005311215606,0.21290635649727593,1.0,0.06306523304009275,0.14979727024930875,0.011743033397190968,-0.3375653412729934
turbidez,-0.25205774685790866,-0.15491749740825725,0.31563338010902403,0.3107519837739875,0.6093662743976148,-0.21894210969798572,0.06306523304009275,1.0,0.025316177300129562,0.038449612331199465,-0.6852751910804074
nivel,-0.24708056605489898,0.22066666539914853,0.12044451198473313,0.12602257852654708,-0.10593199094071303,0.13463289385018537,0.14979727024930875,0.025316177300129562,1.0,0.013965201224570681,-0.21290883461725668
temperatura,-0.2169490929204448,-0.5473882606000398,-0.09217373161544307,-0.10741284140831915,0.02317684633543685,0.031879160334853836,0.011743033397190968,0.038449612331199465,0.013965201224570681,1.0,-0.16214488989790624
ICA,0.7256996164131673,0.27470235733679627,-0.5760669759153911,-0.567629086264763,-0.5090924446479813,0.1412880056484449,-0.3375653412729934,-0.6852751910804074,-0.21290883461725668,-0.16214488989790624,1.0
