,Temperatura Ambiental (°C),Humedad,Temperatura de la muestra (°C),pH,"CE
(µS/cm)","STD
(mg/L)","STS
(mL sed/L)","OD
(mg/L)",Nivel (cm),Turbidez (NTU),"Dureza
(mg CaCO3/L)","Cloruros
(mg Cl-/L)"
0,14.785013,0.53627294,23.987543,8.101635,1260.3442,628.8383,53.900383,2.712852,27.379507,189.54175,112.03963,110.1717
1,15.8627205,0.6061578,17.743101,7.940534,1552.9861,765.60077,99.92337,1.13739,26.43415,118.29271,183.47592,127.58081
2,19.244457,0.61369383,19.138477,7.540628,1279.373,637.61786,90.67107,1.3127806,25.466671,993.97217,110.94788,111.57167
3,12.578682,0.7634917,23.284721,7.492635,877.39624,439.4041,41.04909,2.4138415,33.808414,150.39828,109.888824,65.483246
4,20.31373,0.62395924,19.11338,7.7761655,1523.8214,750.0312,95.39145,1.6016381,28.484467,90.183525,194.7083,140.02747
5,19.774796,0.57264584,20.373394,7.639654,1396.0795,690.03107,92.6359,1.158879,26.840601,994.7953,134.90045,115.45228
6,17.481394,0.4369901,17.271654,8.399548,938.22595,473.69275,113.6698,2.2794695,34.527054,67.58959,109.68985,66.30543
7,14.428525,0.42635474,16.9814,8.206117,1842.5502,912.864,115.22563,2.3104677,23.349512,631.2135,199.74496,161.03828
8,17.602575,0.43482816,18.37357,8.208841,1491.8551,739.9196,121.79326,0.72280467,29.969969,162.61833,157.86023,115.46243
9,13.409138,0.4912852,18.141653,8.623405,1147.7382,564.77313,106.45668,3.5051866,27.64523,72.56708,106.65405,87.68059
10,17.789078,0.4754465,21.275696,8.246328,1385.7621,679.405,75.6835,3.4440885,27.077118,252.22176,137.86469,114.36407
11,14.452776,0.6680491,21.995308,7.7799435,1112.814,540.82385,78.039566,0.76698303,27.36525,205.11429,135.58716,82.21108
12,15.160547,0.47324768,16.927113,8.259039,1411.6268,699.04926,125.987724,0.55366504,33.42244,79.367386,166.17015,103.12864
13,19.960835,0.5455127,19.318436,7.635874,1377.4055,681.1649,95.222885,1.2423528,27.151403,979.4094,124.46974,124.46185
14,13.5244255,0.71808445,21.137106,7.7163405,1538.4792,747.4133,53.146667,1.0834696,24.340176,105.982475,149.41904,110.60673
15,17.63678,0.41827506,20.373539,7.5346265,1476.3038,715.49036,407.89172,0.12063119,30.012703,999.9999,208.28134,94.464485
16,18.879976,0.61814725,18.806425,7.594993,1252.5571,622.55786,92.77307,1.3035116,25.421337,997.1236,112.3314,107.50203
17,17.86152,0.6314939,18.372381,7.8350973,1455.5863,720.07336,94.68774,1.4254835,30.668894,47.018402,192.18617,130.47232
18,18.077862,0.6586417,18.143711,7.818511,1585.4924,785.3476,89.516396,1.762142,22.970222,988.7887,112.67084,140.25769
19,17.33719,0.48566225,21.59859,8.307252,1133.091,555.3822,69.41632,5.469385,34.999084,138.43016,138.746,87.15104
20,28.404425,0.5895754,25.695475,7.759603,1414.8448,691.56256,77.00676,1.3893924,30.36958,46.02561,162.11496,139.86171
21,16.554764,0.5302558,17.59936,8.017357,1080.1462,529.8573,85.502365,1.9231882,33.135376,999.559,127.79843,78.28989
22,26.878664,0.57666147,23.315948,7.7010174,1561.8503,761.0899,98.5385,1.4361358,26.071146,138.58305,172.65602,147.73573
23,16.656872,0.5304963,19.36784,8.112034,1322.4929,646.7098,139.96588,1.5647429,20.90172,380.9225,124.04272,100.87091
24,19.573036,0.4318817,17.352034,8.036154,1556.0499,772.9259,115.40533,1.0323629,36.31816,104.02229,188.09067,137.28088
25,15.964233,0.51164657,21.69095,8.171152,1434.7545,709.81195,61.365032,2.8208807,25.685974,231.75145,127.9822,121.88093
26,14.499107,0.71921116,20.860025,7.6583357,1541.6414,755.604,53.078648,1.479815,26.4056,93.64817,161.70688,124.123695
27,17.55026,0.4666474,20.979261,8.196214,1099.1321,558.8589,92.56563,2.4256232,27.885136,160.19244,109.67438,89.76397
28,12.945271,0.6019677,16.873579,8.098875,1485.3805,730.259,107.43398,0.6903752,27.99696,69.396225,174.86226,108.23182
29,17.088238,0.4426778,16.591097,7.8680296,1791.0896,886.2079,147.43788,1.1060585,22.70714,564.8953,169.95557,161.99287
30,16.224197,0.45227638,17.932447,8.268884,1439.2916,707.70715,120.42288,0.5604026,33.120216,83.21131,155.04568,104.22435
31,15.246339,0.4469765,19.885126,7.685108,1391.1154,666.5067,300.4747,0.20429793,33.159092,999.9996,200.89409,81.85366
32,24.028465,0.35885125,22.406727,7.612717,1762.8706,866.88434,122.85199,0.93946886,21.513113,648.5737,170.99059,160.91844
33,14.104575,0.5999344,17.990026,8.04687,1516.764,738.69165,111.7301,0.7567298,24.812798,164.5466,167.31985,111.73991
34,19.289015,0.5197929,22.486687,7.7830596,1547.8961,759.2103,101.02495,0.7393747,34.547443,999.6814,189.92029,110.68132
35,16.117512,0.47643554,16.456335,7.843482,1808.4778,894.6141,137.0854,1.3077623,21.8617,829.6998,163.4125,165.60062
36,27.06444,0.43763244,24.255604,7.679711,1733.7339,850.41254,103.87508,1.1063185,22.868793,405.49042,178.17139,160.24304
37,16.70945,0.5008413,21.673264,8.2112055,1285.2666,634.88135,66.06199,3.7952886,28.509712,196.69516,129.66646,107.09032
38,16.326447,0.4353206,16.185385,8.599662,939.8892,473.46194,108.15641,2.685515,36.131405,49.01475,110.559845,68.00093
39,14.85469,0.54470724,24.95492,8.035982,1375.5616,682.2468,49.34488,2.2033784,25.844738,235.47923,113.723495,121.09703
40,17.077831,0.5586276,17.420116,7.9404035,1093.9543,540.8606,83.5475,1.8133814,30.863974,999.2067,119.70745,82.57545
41,18.869051,0.4924174,23.507587,8.017394,993.46136,496.69043,72.47313,1.5003155,33.07183,97.4072,105.36984,76.28971
42,17.751534,0.72597784,18.201714,7.7372837,1538.6348,762.07837,91.64413,1.6088009,20.68564,992.6595,103.22171,132.54852
43,19.364758,0.47366288,22.458227,8.027191,1259.9734,632.2281,91.71431,1.562764,25.709614,313.48874,123.35378,105.390755
44,19.453918,0.50051856,25.385,7.887463,1086.2847,543.38306,61.883198,1.2626566,31.906578,148.94658,110.34842,88.30468
45,16.982658,0.4677879,16.537643,8.110989,1535.6512,763.6269,131.81058,0.8331741,33.745235,73.5883,185.50903,125.73558
46,18.494017,0.48604548,20.651896,8.188313,1360.8453,672.2466,65.71135,3.1599274,29.107618,169.82607,148.87796,111.830795
47,16.856104,0.502528,21.171669,8.276446,1100.1506,545.1316,62.294632,5.1782227,35.614754,107.850395,136.50299,85.84569
48,18.843801,0.6040121,18.86105,7.8759413,1374.4069,683.26874,101.70114,1.2500154,33.36069,34.806385,185.57236,126.111755
49,24.867746,0.5276409,21.06843,7.7247396,1567.8663,766.76447,122.39604,1.2098036,26.537422,216.24527,170.18713,148.17209
50,14.71615,0.53477424,16.28675,8.118509,1466.1616,728.8534,132.01366,0.75875163,31.794205,56.887764,185.47076,115.53117
51,16.766775,0.37023753,16.498081,8.44958,1802.382,893.3551,148.25629,0.8596491,22.36395,271.92404,160.88214,151.46013
52,13.550048,0.70770305,20.535984,7.749422,1564.1256,762.5619,55.925735,1.093794,24.526518,95.05283,154.08371,114.27511
53,11.617207,0.6429114,15.205535,7.959533,1779.558,887.8096,87.24226,2.304394,22.604912,959.5338,142.68343,156.184
54,13.525364,0.49233755,19.40102,7.811603,1294.1682,617.33484,184.57492,0.42387694,35.54039,999.99603,182.11542,73.37637
55,15.601825,0.51162654,20.579908,7.783897,1420.25,684.869,141.21141,0.55616736,34.155354,999.97437,179.7871,89.228836
56,14.9157095,0.4990443,15.215336,8.430967,885.56586,447.18936,78.8429,2.85311,47.959465,85.87717,113.530914,65.14257
57,17.844658,0.71116316,18.130669,7.774395,1543.2007,763.81793,90.77234,1.6710985,21.288681,993.16486,105.67972,132.44821
58,15.03368,0.48087123,19.878098,8.372175,1206.6517,604.9983,95.34457,3.2903771,25.580109,147.19302,108.45056,98.82402
59,17.424765,0.5608749,21.71583,7.895609,710.1751,369.14612,71.6328,1.2835364,37.76525,100.58934,110.01222,53.83092
60,22.172415,0.23121692,22.856195,7.741194,1810.0541,895.62683,105.86849,0.7926016,22.235937,744.0825,205.55797,157.9098
61,17.183746,0.36346555,16.779713,8.391362,1835.0463,910.3992,115.16407,1.2108874,23.41478,431.15115,187.9959,161.7686
62,16.28785,0.36170846,16.733046,8.440516,1832.9626,910.2313,124.67849,0.9523618,23.388369,265.42325,164.66927,157.79929
63,19.081877,0.42926723,16.257517,8.222057,1673.7838,829.8392,133.77277,1.2212117,27.278645,343.55127,201.80014,148.90588
64,18.267502,0.36879045,16.715363,8.446413,1789.5667,886.1686,152.15121,0.9967175,21.538801,388.76627,172.60597,152.4729
65,19.338024,0.5548777,18.996416,7.931629,1299.6931,641.10706,85.55693,1.5708601,30.65879,998.42096,134.46382,113.085464
66,12.840164,0.6458076,17.846863,8.00344,741.8374,377.47644,75.92905,2.2883103,38.375053,107.57134,115.37897,52.668728
67,20.475029,0.6743097,20.906578,7.70529,1476.6067,728.3132,70.53598,1.8905443,30.133074,33.048927,188.572,138.58974
68,11.109835,0.53587,20.171127,8.44264,1274.1003,631.7062,69.25237,4.1502147,27.881054,97.87354,106.03801,104.22368
69,21.24201,0.27513838,20.552042,7.555109,1536.4115,757.79803,116.11536,0.82844526,30.308414,211.5053,151.96736,142.85896
70,14.164492,0.49484095,19.604605,8.454027,1303.4989,641.7786,101.68576,4.185205,23.936066,189.80542,109.629654,103.91716
71,15.077213,0.46809396,18.366955,8.499981,1182.4625,592.60486,116.038155,3.500954,24.644396,148.56947,108.172874,94.65636
72,15.195847,0.46740818,15.943051,8.251644,1490.2427,741.614,135.6594,0.6477732,33.18766,73.92533,181.79245,113.95478
73,14.021145,0.743761,21.400177,7.5999575,1563.4685,764.27686,45.382042,1.6139001,26.757738,106.473656,157.47467,125.75184
74,17.75995,0.5802695,23.298018,7.7687893,937.9939,475.2281,76.81029,1.2112067,29.64361,228.19196,115.99694,75.257095
75,15.9384575,0.3614782,16.477297,8.289492,1833.1882,911.47076,105.83371,1.3046725,25.781563,409.3047,192.37057,163.63583
76,14.466048,0.49038267,19.427069,8.475612,1302.7787,639.9314,108.343475,4.3322644,23.747728,203.712,110.14169,102.363716
77,20.699574,0.59714806,18.5745,7.7903523,1653.2634,810.4196,120.87934,1.544462,23.2408,256.7149,195.52641,149.80786
78,15.655548,0.4852863,15.506609,8.446434,879.66504,439.58112,93.39208,2.6028898,43.22626,79.790344,114.075905,62.021343
79,17.107384,0.46365467,18.078262,8.133922,1663.4484,823.27783,89.49868,3.1121764,26.783657,292.7367,186.90024,136.54575
80,14.609573,0.51089764,15.420432,8.495619,951.72723,470.6071,80.115746,3.1695127,47.009056,106.81208,113.73727,70.494225
81,13.466187,0.4629737,18.049122,8.011736,1070.3628,511.15494,149.5479,0.856188,38.594845,999.9919,174.05411,60.268246
