Unnamed: 0,Temperatura Ambiental (°C),Humedad,temperatura,ph,ce,std,sts,od,nivel,turbidez,dureza,cloruros,ph_norm,od_norm,ce_norm,std_norm,sts_norm,dureza_norm,cloruros_norm,turbidez_norm,nivel_norm,temperatura_norm,ICA,clasificación
0,5.5006685,0.58062977,16.461504,7.9409456,1661.316,829.7923,46.75199,2.2364058,14.070442,2.167687,258.58344,163.7042,100.0,23.546087,0.0,67.02077,66.5600125,23.009200000000007,100,100.0,0.0,82.30752000000001,52.4818089458,Mala
1,22.895454,0.33726227,22.992449,7.2903385,1560.5314,783.069,236.36234,0.5026538,29.87443,996.3303,166.4262,123.56614,100.0,5.026538,0.0,71.6931,0.0,74.20766666666667,100,0.0,0.0,100.0,36.83293036853333,Muy mala
2,15.505342,0.8658956,23.454552,7.6907806,1075.2915,529.6846,36.39027,0.8845006,76.709076,181.02855,215.31517,103.54655,100.0,8.845006,42.47084999999999,97.03153999999999,79.5121625,47.047127777777774,100,0.0,26.709075999999996,100.0,50.667561723422224,Mala
3,13.938908,0.4397268,21.613613,8.525713,957.04254,471.4299,62.9344,6.6684237,56.600475,83.958954,161.06787,69.39956,98.97148000000001,86.684237,54.295745999999994,100.0,46.33200000000001,77.18451666666667,100,16.885311578947366,6.600475000000003,100.0,74.85249603127544,Aceptable
4,28.969385,0.2595604,23.341286,7.9979515,1154.8282,575.52747,49.170868,5.022058,18.123915,31.277527,266.51355,65.31394,100.0,65.33087,34.517179999999996,92.447253,63.536415000000005,18.603583333333333,100,72.3394452631579,0.0,100.0,69.39611726744035,Aceptable
5,17.181173,0.19787765,21.805105,7.839258,874.26447,435.5555,17.292734,0.6538732,35.6349,0.48838475,200.53917,84.29099,100.0,6.538732,62.573553000000004,100.0,100.0,55.25601666666666,100,100.0,0.0,100.0,61.77142141953333,Mala
6,10.1740465,0.7798135,17.187202,8.281239,1452.1602,715.1836,61.797825,2.0895572,46.44426,888.8041,152.89685,112.78627,100.0,21.343357999999995,4.78398,78.48164,47.75271875,81.72397222222222,100,0.0,0.0,85.93601,45.470684563477775,Mala
7,30.678135,0.5975568,22.31261,7.892628,825.0057,413.38782,48.766987,5.1327314,30.757278,32.931416,374.42892,55.6811,100.0,66.990971,67.49942999999999,100.0,64.04126625,0.0,100,70.59850947368422,0.0,100.0,74.08367825995262,Aceptable
8,20.428324,0.41193363,17.099396,7.578996,1645.1792,818.50134,490.89893,0.59035313,29.74275,997.8853,210.9677,133.0464,100.0,5.9035313,0.0,68.149866,0.0,49.46238888888889,100,0.0,0.0,85.49698,35.70211184173111,Muy mala
9,27.74188,0.3067059,21.960491,8.504143,1632.3213,814.1988,96.15119,2.5824008,49.65459,722.86957,307.7228,142.34789,99.83428000000004,28.736011999999995,0.0,68.58012,4.811012500000004,0.0,100,0.0,0.0,100.0,41.59998403580001,Muy mala
10,25.079811,0.8773821,17.213112,8.244194,1303.0226,635.256,68.89234,3.4080725,26.656712,375.18658,173.68811,117.428825,100.0,41.1210875,19.697739999999996,86.4744,38.884575,70.17327222222222,100,0.0,0.0,86.06555999999999,53.192757014277774,Mala
11,24.604237,0.83179027,17.446548,7.91781,1321.5182,653.10345,50.055,1.3083906,54.553436,223.51779,128.66934,95.155785,100.0,13.083906,17.84818,84.689655,62.43125,95.1837,100,0.0,4.553436000000005,87.23274,46.7211593177,Mala
12,14.061287,0.52574,18.636219,8.642145,1117.4529,547.4955,85.478935,6.6337605,48.50576,126.7549,128.39886,89.213196,94.31420000000003,86.337605,38.25471,95.25045,18.15133125,95.33396666666665,100,0.0,0.0,93.181095,68.37368395733334,Aceptable
13,20.855465,0.35812458,25.428993,7.691912,1208.8062,590.8001,27.611837,0.35803246,50.907852,5.7344236,173.4152,77.70017,100.0,3.5803246,29.119380000000007,90.91999,90.48520375,70.32488888888889,100,99.22692252631579,0.9078519999999912,97.85503500000002,55.66512610689847,Mala
14,13.560204,0.051614463,23.384893,7.772499,1419.0032,683.96277,93.63032,1.1874094,30.118963,509.3394,199.90164,84.80079,100.0,11.874094,8.099679999999992,81.603723,7.962100000000007,55.610200000000006,100,0.0,0.0,100.0,40.807972944899994,Muy mala
15,20.718452,0.93042994,18.613476,8.358778,1245.9568,623.0952,43.03083,1.214978,69.09552,315.02786,379.91312,130.87596,100.0,12.14978,25.40432,87.69048000000001,71.2114625,0.0,100,0.0,19.095519999999993,93.06737999999999,46.24547775299999,Mala
16,28.845903,0.5020573,28.024517,7.9634686,1407.6366,695.98505,97.36739,4.9706955,23.14572,635.1234,121.61242,127.50838,100.0,64.56043249999999,9.236339999999998,80.401495,3.2907624999999996,99.10421111111111,100,0.0,0.0,84.877415,57.06532895138889,Mala
17,22.55948,0.77886605,27.96778,7.5327997,914.87415,457.18954,44.26707,2.3380086,27.600756,91.009514,343.63364,106.80148,100.0,25.070129,58.512585,100.0,69.66616250000001,0.0,100,9.463669473684206,0.0,85.16109999999999,55.14002840665263,Mala
18,23.508558,0.8068315,22.134192,8.26005,1530.4052,759.75793,51.749073,1.6158216,56.18999,261.61594,301.39502,149.79337,100.0,16.158216,0.0,74.024207,60.31365875,0.0,100,0.0,6.1899899999999946,100.0,41.79085367559999,Muy mala
19,27.445278,0.29001567,25.738642,7.3646936,1522.4152,764.93524,106.21841,0.5780888,36.933876,988.9964,132.84366,105.0128,100.0,5.780887999999999,0.0,73.50647599999999,0.0,92.86463333333333,100,0.0,0.0,96.30679,37.70898342446666,Muy mala
20,27.413437,0.82936335,19.135817,8.021018,851.6662,423.5673,38.76561,6.047683,16.724562,20.661695,308.07043,81.657394,100.0,80.47683,64.83338,100.0,76.5429875,0.0,100,83.51400526315788,0.0,95.679085,79.47772229997369,Aceptable
21,23.091524,0.34386396,22.520355,8.337811,1295.5448,639.82983,74.67856,5.1738353,37.32231,142.36836,212.72014,89.21327,100.0,67.6075295,20.445520000000002,86.017017,31.651799999999994,48.48881111111112,100,0.0,0.0,100.0,60.335222669888886,Mala
22,18.999104,0.06822168,19.338095,8.500526,1467.5399,703.33875,191.25728,4.5957465,60.076393,976.6555,324.906,86.89849,99.97895999999997,58.93619749999999,3.2460099999999983,79.666125,0.0,0.0,100,0.0,10.076392999999996,96.69047499999999,52.28447562639998,Mala
23,11.896582,0.7903332,17.921959,7.929255,558.65125,275.98242,31.712067,2.5613513,39.533463,94.70037,171.44202,43.026196,100.0,28.420269500000003,94.134875,100.0,85.35991625,71.4211,100,5.578557894736832,0.0,89.609795,63.14686142851052,Mala
24,29.07999,0.668538,25.561268,7.980797,1425.4858,709.7523,64.38176,2.2829256,26.803833,184.26207,213.83774,132.30219,100.0,24.243884,7.451420000000013,79.02477,44.5228,47.86792222222223,100,0.0,0.0,97.19366000000001,45.800179906377785,Mala
25,12.947433,0.45461687,14.380295,8.221234,1479.8527,732.78455,58.771675,1.5946501,41.332253,25.462675,244.63376,95.17175,100.0,15.946501,2.0147300000000143,76.721545,51.53540625,30.759022222222228,100,78.46034210526315,0.0,71.901475,48.79760163246727,Mala
26,24.844788,0.3649854,25.907883,7.7257824,1410.773,690.5416,32.31068,0.47202662,44.21128,9.654784,161.40616,97.976456,100.0,4.7202662,8.922700000000006,80.94584,84.61165,76.99657777777777,100,95.10022736842106,0.0,95.460585,51.86717893246537,Mala
27,14.479508,0.7867644,18.855434,8.277583,1332.6399,648.5522,52.33092,2.0948563,36.076584,591.1924,146.70975,102.2408,100.0,21.4228445,16.736010000000007,85.14478,59.586349999999996,85.16125,100,0.0,0.0,94.27717,48.5858244253,Mala
28,27.285433,0.85230684,15.780453,8.241259,1623.4801,803.10583,57.753223,1.0112283,63.224705,326.76825,354.8266,137.34068,100.0,10.112283,0.0,69.689417,52.80847125,0.0,100,0.0,13.224705,78.902265,39.0313678384,Muy mala
29,15.859816,0.4285885,20.642035,8.551245,1337.9185,659.9511,74.35287,5.76783,54.18166,72.53269,190.82278,107.59682,97.95020000000001,76.51745,16.208150000000003,84.00489,32.058912500000005,60.65401111111112,100,28.912957894736834,4.181659999999994,100.0,64.96669428509941,Mala
30,13.6692295,0.54911834,16.1076,8.469839,1438.3813,708.8597,55.6823,8.41108,27.77046,4.259695,274.99725,114.357124,100.0,100.0,6.1618700000000075,79.11403,55.397125,13.890416666666667,100,100.0,0.0,80.53800000000001,76.21702655733334,Aceptable
31,15.146003,0.73242104,27.272997,7.3133125,859.5936,431.94052,41.396053,1.5986459,42.911865,161.65038,329.91968,111.80238,100.0,15.986459,64.04064,100.0,73.25493374999999,0.0,100,0.0,0.0,88.635015,52.5571018136,Mala
32,12.369812,0.6420471,20.235222,8.721157,1519.056,752.6633,86.97013,7.299056,48.818077,27.227312,204.85223,154.2508,91.15372,92.99056,0.0,74.73366999999999,16.287337499999992,52.85987222222223,100,76.60282947368421,0.0,100.0,68.4621982638304,Aceptable
33,31.07796,0.83395034,23.340134,8.2641735,1347.5317,680.53,55.630405,1.4760966,60.049664,702.9842,161.19447,103.86825,100.0,14.760966,15.246830000000003,81.947,55.46199374999999,77.11418333333333,100,0.0,10.049664000000007,100.0,46.232697611766675,Mala
34,24.372028,0.24704792,23.838293,7.5847273,1010.8207,498.33588,16.589188,0.43504643,23.685154,0.474417,142.3526,90.8713,100.0,4.3504643,48.91793,100.0,100.0,87.5818888888889,100,100.0,0.0,100.0,60.37584916933111,Mala
35,20.83025,0.3683338,17.772892,7.4841433,1610.1947,798.64514,571.0255,0.49099922,31.46922,998.5462,216.61934,124.208435,100.0,4.9099922000000005,0.0,70.135486,0.0,46.322588888888895,100,0.0,0.0,88.86446,35.60087486959111,Muy mala
36,15.275423,0.27963498,21.216509,8.138895,1210.831,596.9531,30.44748,1.366862,39.36244,2.8422518,237.865,107.817505,100.0,13.66862,28.916900000000012,90.30469000000001,86.94065,34.51944444444443,100,100.0,0.0,100.0,57.405841122555564,Mala
37,16.699661,0.37528133,21.408064,7.7387195,1559.4553,749.15015,439.45868,0.51234394,23.836222,972.751,307.7701,78.6885,100.0,5.1234394000000005,0.0,75.08498499999999,0.0,0.0,100,0.0,0.0,100.0,35.09506589226,Muy mala
38,27.736061,0.29630753,23.376114,7.5701823,897.83466,440.35495,21.3377,1.197092,24.328186,1.1972853,218.34302,77.715645,100.0,11.97092,60.216533999999996,100.0,98.32787499999999,45.36498888888889,100,100.0,0.0,100.0,62.71248057431111,Mala
39,20.612432,0.3754286,19.562586,8.33984,952.468,471.07587,44.768127,7.7184362,35.112804,30.778606,252.53047,57.48899,100.0,97.184362,54.7532,100.0,69.03984125,26.371961111111105,100,72.86462526315789,0.0,97.81293,82.62123243066257,Buena
